gene_id	utr_start	overlapping_sites_count
17887	33	1
17887	35	1
12235	515	0
18905	65	0
11661	477	1
11661	477	1
996	97	0
17517	32	1
17517	32	1
17708	18	1
17708	18	1
2001	201	1
2001	201	1
2001	189	1
2001	189	1
12282	314	1
12282	314	1
7984	535	7
7984	535	7
7984	535	7
7984	535	7
7984	535	7
7984	535	7
7984	535	7
7984	535	7
7984	387	1
7984	387	1
7984	129	0
7984	244	1
7984	244	1
15632	181	2
15632	207	2
15632	181	2
15632	207	2
15632	181	2
15632	207	2
12775	162	1
12775	162	1
8536	612	7
8536	612	7
8536	612	7
8536	612	7
8536	612	7
8536	612	7
8536	612	7
8536	612	7
8536	377	1
8536	377	1
8536	204	1
8536	204	1
16443	90	0
16443	39	0
9173	219	0
12525	165	1
12525	165	1
9316	87	1
9316	87	1
7291	337	1
7291	337	1
1197	266	1
1197	266	1
1197	568	2
1197	568	2
1197	568	2
14529	39	1
14529	39	1
13564	196	0
9023	347	0
12359	463	1
12359	463	1
12359	439	0
12359	505	1
12359	505	1
18295	253	1
18295	168	1
18295	253	1
18295	168	1
18777	15	7
18777	15	7
18777	15	7
18777	15	7
18777	15	7
18777	15	7
18777	15	7
18777	15	7
10043	132	0
8356	320	1
8356	320	1
8356	626	0
8356	196	1
8356	196	1
17579	144	0
17579	127	3
17579	127	3
17579	129	3
17579	254	1
17579	129	3
17579	254	1
11840	173	1
11840	173	1
11840	192	1
11840	192	1
12728	24	1
12728	24	1
10626	207	0
10626	449	1
10626	449	1
18333	141	1
18333	141	1
12533	70	1
12533	70	1
13666	15	1
13666	15	1
18147	69	1
18147	69	1
18363	15	0
4336	198	4
4336	198	4
4336	198	4
4336	198	4
4336	198	4
7019	61	0
9948	83	1
9948	83	1
9948	281	1
9948	281	1
10037	655	0
10037	547	0
15756	57	1
15756	57	1
15756	225	0
11377	103	0
11377	365	0
17117	266	1
17117	266	1
13828	85	1
13828	85	1
15182	293	1
15182	293	1
3881	98	7
3881	98	7
3881	98	7
3881	98	7
3881	98	7
3881	98	7
3881	98	7
3881	98	7
9322	96	1
9322	96	1
18585	42	1
18585	42	1
11058	53	1
11058	53	1
16706	167	0
11065	430	1
11065	430	1
7653	691	1
7653	691	1
16844	132	7
16844	132	7
16844	132	7
16844	132	7
16844	132	7
16844	132	7
16844	132	7
16844	132	7
16844	433	1
16844	433	1
16844	164	2
16844	164	2
16844	164	2
17160	121	0
18077	167	0
17092	221	4
17092	221	4
17092	221	4
17092	221	4
17092	221	4
15742	193	1
15742	193	1
5392	281	1
5392	281	1
5392	348	0
14055	107	0
14279	28	3
14279	28	3
14279	131	1
14279	30	3
14279	131	1
14279	30	3
16090	34	1
16090	34	1
16090	152	1
16090	152	1
16090	61	1
16090	61	1
14196	335	1
14196	335	1
9796	128	1
9796	128	1
9796	526	3
9796	518	3
9796	526	3
9796	518	3
6530	106	0
6530	183	1
6530	183	1
6530	289	0
6040	61	0
12641	72	0
12641	218	0
12641	15	1
12641	15	1
9831	1113	1
9831	176	1
9831	1113	1
9831	176	1
3434	127	1
3434	127	1
16984	388	1
16984	388	1
17842	67	1
17842	67	1
16302	108	1
16302	37	1
16302	108	1
16302	37	1
